,id,text,author
0,id26305,this proces however afforded me no means of ascertaining the dimensions of my dungeon as i might make its circuit and return to the point whence i set out without being aware of the fact so perfectly uniform seemed the wal,EAP
1,id17569,it never once occurred to me that the fumbling might be a mere mistake,HPL
2,id11008,in his left hand was a gold snuff box from which as he capered down the hil cutting all manner of fantastic steps he took snuff incessantly with an air of the greatest possible self satisfaction,EAP
3,id27763,how lovely is spring as we looked from windsor terrace on the sixteen fertile counties spread beneath speckled by happy cottages and wealthier towns all looked as in former years heart cheering and fair,MWS
4,id12958,finding nothing else not even gold the superintendent abandoned his atempts but a perplexed look occasionally steals over his countenance as he sits thinking at his desk,HPL
5,id22965,a youth passed in solitude my best years spent under your gentle and feminine fosterage has so refined the groundwork of my character that i canot overcome an intense distaste to the usual brutality exercised on board ship i have never believed it to be necesary and when i heard of a mariner equally noted for his kindliness of heart and the respect and obedience paid to him by his crew i felt myself peculiarly fortunate in being able to secure his services,MWS
6,id09674,the astronomer perhaps at this point took refuge in the suggestion of non luminosity and here analogy was suddenly let fal,EAP
7,id13515,the surcingle hung in ribands from my body,EAP
8,id19322,i knew that you could not say to yourself stereotomy without being brought to think of atomies and thus of the theories of epicurus and since when we discussed this subject not very long ago i mentioned to you how singularly yet with how little notice the vague guesses of that noble greek had met with confirmation in the late nebular cosmogony i felt that you could not avoid casting your eyes upward to the great nebula in orion and i certainly expected that you would do so,EAP
9,id00912,i confess that neither the structure of languages nor the code of governments nor the politics of various states possessed attractions for me,MWS
10,id16737,he shal find that i can feel my injuries he shal learn to dread my revenge a few days after he arived,MWS
11,id16607,here we barricaded ourselves and for the present were secure,EAP
12,id19764,herbert west needed fresh bodies because his life work was the reanimation of the dead,HPL
13,id18886,the farm like grounds extended back very deeply up the hil almost to wheaton stret,HPL
14,id17189,but a glance will show the fallacy of this idea,EAP
15,id12799,he had escaped me and i must commence a destructive and almost endless journey across the mountainous ices of the ocean amidst cold that few of the inhabitants could long endure and which i the native of a genial and sunny climate could not hope to survive,MWS
16,id08441,to these speeches they gave of course their own interpretation fancying no doubt that at all events i should come into possession of vast quantities of ready money and provided i paid them all i owed and a trifle more in consideration of their services i dare say they cared very little what became of either my soul or my carcas,EAP
17,id13117,her native sprightliness needed no undue excitement and her placid heart reposed contented on my love the well being of her children and the beauty of surrounding nature,MWS
18,id14862,i even went so far as to speak of a slightly hectic cough with which at one time i had been troubled of a chronic rheumatism of a twinge of hereditary gout and in conclusion of the disagreeable and inconvenient but hitherto carefully concealed weakness of my eyes,EAP
19,id20836,his facial aspect to was remarkable for its maturity for though he shared his mothers and grandfathers chinlesnes his firm and precociously shaped nose united with the expression of his large dark almost latin eyes to give him an air of quasi adulthood and well nigh preternatural inteligence,HPL
20,id11411,now the net work was not permanently fastened to the hop but attached by a series of running loops or noses,EAP
21,id08075,it was not that the sounds were hideous for they were not but that they held vibrations suggesting nothing on this globe of earth and that at certain intervals they assumed a symphonic quality which i could hardly conceive as produced by one player,HPL
22,id18925,on every hand was a wilderness of balconies of verandas of minarets of shrines and fantastically carved oriels,EAP
23,id19925,with how deep a spirit of wonder and perplexity was i wont to regard him from our remote pew in the galery as with step solemn and slow he ascended the pulpit this reverend man with countenance so demurely benign with robes so glossy and so clericaly flowing with wig so minutely powdered so rigid and so vast could this be he who of late with sour visage and in snufy habiliments administered ferule in hand the draconian laws of the academy,EAP
24,id01704,these bizarre attempts at explanation were followed by others equally bizare,EAP
25,id10125,for many prodigies and signs had taken place and far and wide over sea and land the black wings of the pestilence were spread abroad,EAP
26,id02448,all that as yet can fairly be said to be known is that pure gold can be made at wil and very readily from lead in connection with certain other substances in kind and in proportions unknown speculation of course is busy as to the immediate and ultimate results of this discovery a discovery which few thinking persons will hesitate in referring to an increased interest in the matter of gold generaly by the late developments in california and this reflection brings us inevitably to another the exceeding inopportuneness of von kempelens analysis,EAP
